ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
14482,95982,37607,642,3833,-0.07965213408183526,Biotransform,H1N1,0,0,C8H17N3O3,C8H18N4O3,106548,0,0,NA,NA,0,0
14489,95982,37608,643,3833,-0.07965213408183526,Biotransform,H1N1,0,0,C8H17N3O3,C8H18N4O3,106550,0,0,NA,NA,0,0
140049,96623,37616,6956,3858,0.833576525340143,Biotransform,H1N1,0,0,C7H12N2O5,C7H13N3O5,106564,0,0,NA,NA,0,0
38086,157801,37617,1587,8623,0.377122059584293,Biotransform,H1N1,0,0,C8H16O4Si1,C8H17N1O4Si1,106570,0,0,NA,NA,0,0
9153,80318,37622,345,3093,0.37710811767361374,Biotransform,H1N1,0,0,C11H12N2O2,C11H13N3O2,106581,0,0,NA,NA,0,0
149178,80318,37624,7672,3093,-0.0793020808400464,Biotransform,H1N1,0,0,C11H12N2O2,C11H13N3O2,106588,0,0,NA,NA,0,0
41169,66290,37635,1723,2639,-0.9920273957393237,Biotransform,H1N1,0,0,C8H16N2O4,C8H17N3O4,106630,0,0,NA,NA,0,0
41169,66295,37636,1723,2640,-0.5356606938619463,Biotransform,H1N1,0,0,C8H16N2O4,C8H17N3O4,106634,0,0,NA,NA,0,0
41169,66298,37637,1723,2641,-0.5356606938619463,Biotransform,H1N1,0,0,C8H16N2O4,C8H17N3O4,106638,0,0,NA,NA,0,0
163397,66290,37639,9268,2639,-0.9920273957393237,Biotransform,H1N1,0,0,C8H16N2O4,C8H17N3O4,106646,0,0,NA,NA,0,0
163397,66295,37640,9268,2640,-0.5356606938619463,Biotransform,H1N1,0,0,C8H16N2O4,C8H17N3O4,106650,0,0,NA,NA,0,0
163397,66298,37641,9268,2641,-0.5356606938619463,Biotransform,H1N1,0,0,C8H16N2O4,C8H17N3O4,106654,0,0,NA,NA,0,0
133260,91693,37649,6446,3638,-0.9918635353932602,Biotransform,H1N1,0,0,C9H20N2O3,C9H21N3O3,106681,0,0,NA,NA,0,0
133260,136624,37650,6446,6698,-0.07928131076554541,Biotransform,H1N1,0,0,C9H20N2O3,C9H21N3O3,106683,0,0,NA,NA,0,0
101719,158133,37662,4214,8662,-0.07894640949685867,Biotransform,H1N1,0,0,C8H15N1O3S1,C8H16N2O3S1,106704,0,0,NA,NA,0,0
101719,158139,37663,4214,8663,1.2841414103409738,Biotransform,H1N1,0,0,C8H15N1O3S1,C8H16N2O3S1,106709,0,0,NA,NA,0,0
32301,144100,37671,1401,7257,-0.5331509295240096,Biotransform,H1N1,0,0,C8H19N3O3,C8H20N4O3,106735,0,0,NA,NA,0,0
93880,127306,37685,3739,6013,-0.5308292092991693,Biotransform,H1N1,0,0,C11H14N2O2,C11H15N3O2,106768,0,0,NA,NA,0,0
36504,2035,37686,1558,110,-0.0782427206796487,Biotransform,H1N1,0,0,C7H13N1O4S1,C7H14N2O4S1,106770,0,0,NA,NA,0,0
43091,165329,37690,1783,9445,2.1632061841371097,Biotransform,H1N1,0,0,C8H16O6,C8H17N1O6,106786,0,0,NA,NA,0,0
154807,165329,37693,8255,9445,2.1632061841371097,Biotransform,H1N1,0,0,C8H16O6,C8H17N1O6,106796,0,0,NA,NA,0,0
29071,14628,37739,1283,657,-0.07684498330280758,Biotransform,H1N1,0,0,C9H13N3O3,C9H14N4O3,106854,0,0,NA,NA,0,0
29077,14628,37741,1284,657,-0.07684498330280758,Biotransform,H1N1,0,0,C9H13N3O3,C9H14N4O3,106862,0,0,NA,NA,0,0
55735,107777,37744,2218,4625,-0.07681172527520823,Biotransform,H1N1,0,0,C13H25N1O1,C13H26N2O1,106871,0,0,NA,NA,0,0
137034,119674,37748,6722,5437,0.36389198229962494,Biotransform,H1N1,0,0,C13H8O3,C13H9N1O3,106878,0,0,NA,NA,0,0
73381,96762,37783,2863,3878,0.8005950675797882,Biotransform,H1N1,0,0,C10H15N1O4,C10H16N2O4,106942,0,0,NA,NA,0,0
73381,96781,37784,2863,3879,0.8005950675797882,Biotransform,H1N1,0,0,C10H15N1O4,C10H16N2O4,106948,0,0,NA,NA,0,0
51247,81995,37809,2074,3160,-0.5099400758134436,Biotransform,H1N1,0,0,C10H21N3O2,C10H22N4O2,107002,0,0,NA,NA,0,0
51250,81995,37810,2075,3160,-0.5099400758134436,Biotransform,H1N1,0,0,C10H21N3O2,C10H22N4O2,107004,0,0,NA,NA,0,0
