id,mz,rt,rtmin,rtmax,n_glc,image,prediction,EVA_remove,peak_group,n,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
1174,261.1345,2.95,2.9,3.07,87000,F3103.png,FALSE,TRUE,,,FALSE,87000,FALSE,FALSE,FALSE
562,261.1346,1.9,1.76,1.96,240000,F3104.png,TRUE,FALSE,,,FALSE,240000,FALSE,FALSE,FALSE
2077,261.182,6.85,6.74,6.99,470000,F3105.png,TRUE,FALSE,,,FALSE,470000,FALSE,FALSE,FALSE
3082,261.9837,9.15,9.04,9.24,1300000,F3106.png,TRUE,FALSE,,,FALSE,1300000,FALSE,FALSE,FALSE
3519,262.0246,10.1,9.99,10.21,640000,F3107.png,TRUE,FALSE,,,FALSE,640000,FALSE,FALSE,FALSE
4707,262.057,12.79,12.7,12.9,210000,F3108.png,TRUE,FALSE,,,FALSE,210000,FALSE,FALSE,FALSE
2920,262.0573,8.84,8.7,8.96,380000,F3109.png,TRUE,FALSE,,,FALSE,380000,FALSE,FALSE,FALSE
1798,262.0602,5.79,5.47,5.99,170000,F3110.png,TRUE,FALSE,,,FALSE,170000,FALSE,FALSE,FALSE
2870,262.0698,8.76,8.5,9.07,3100000,F3111.png,TRUE,FALSE,,,FALSE,3100000,FALSE,FALSE,FALSE
3783,262.0701,10.64,10.56,10.73,110000,F3112.png,TRUE,FALSE,,,FALSE,110000,FALSE,FALSE,FALSE
4410,262.0703,12.07,11.98,12.16,210000,F3113.png,TRUE,FALSE,,,FALSE,210000,FALSE,FALSE,FALSE
3244,262.0741,9.53,9.45,9.65,1000000,F3114.png,TRUE,FALSE,,,FALSE,1000000,FALSE,FALSE,FALSE
3790,262.0764,10.67,10.53,10.78,1400000,F3115.png,TRUE,FALSE,,,FALSE,1400000,FALSE,FALSE,FALSE
4397,262.0764,12.04,11.96,12.19,2300000,F3116.png,TRUE,FALSE,,,FALSE,2300000,FALSE,FALSE,FALSE
883,262.0848,2.53,2.39,2.58,76000,F3117.png,FALSE,TRUE,,,FALSE,76000,FALSE,FALSE,FALSE
3893,262.0934,10.98,10.93,11.38,230000,F3118.png,FALSE,TRUE,,,FALSE,230000,FALSE,FALSE,FALSE
1665,262.0948,4.79,4.64,4.84,95000,F3119.png,FALSE,TRUE,,,FALSE,95000,FALSE,FALSE,FALSE
35,262.9294,1.3,1.01,1.42,84000,F3120.png,FALSE,TRUE,,,FALSE,84000,FALSE,FALSE,FALSE
4806,262.9533,13.22,13.07,13.36,88000,F3121.png,FALSE,TRUE,,,FALSE,88000,FALSE,FALSE,FALSE
5064,262.9553,14.28,14.02,14.45,3700000,F3122.png,FALSE,TRUE,,,FALSE,3700000,FALSE,FALSE,FALSE
5406,262.9553,14.76,14.45,15.65,6700000,F3123.png,TRUE,FALSE,,,FALSE,6700000,FALSE,FALSE,FALSE
4385,262.9632,12.01,11.84,12.19,260000,F3124.png,TRUE,FALSE,,,FALSE,260000,FALSE,FALSE,FALSE
2410,263.0087,7.85,7.7,8.1,210000,F3125.png,TRUE,FALSE,,,FALSE,210000,FALSE,FALSE,FALSE
5081,263.0127,14.33,14.05,15.62,18000000,F3126.png,TRUE,FALSE,,,FALSE,18000000,FALSE,FALSE,FALSE
1950,263.0231,6.6,6.37,6.94,260000,F3127.png,TRUE,FALSE,,,FALSE,260000,FALSE,FALSE,FALSE
1475,263.0288,3.76,3.58,4.36,470000,F3128.png,TRUE,FALSE,,,FALSE,470000,FALSE,FALSE,FALSE
1716,263.0288,5.13,4.99,5.36,50000,F3129.png,FALSE,TRUE,,,FALSE,50000,FALSE,FALSE,FALSE
6162,263.0355,17.61,17.44,17.67,170000,F3130.png,FALSE,TRUE,,,FALSE,170000,FALSE,FALSE,FALSE
5732,263.0356,16.11,15.42,16.25,160000,F3131.png,FALSE,TRUE,,,FALSE,160000,FALSE,FALSE,FALSE
2308,263.0384,7.65,7.53,7.85,220000,F3132.png,TRUE,FALSE,,,FALSE,220000,FALSE,FALSE,FALSE
4080,263.0417,11.33,11.18,11.44,260000,F3133.png,TRUE,FALSE,,,FALSE,260000,FALSE,FALSE,FALSE
