id,mz,rt,rtmin,rtmax,p_293T_2,image,prediction,EVA_remove,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
2486,198.087,10.89,10.86,10.96,1000,F385.png,TRUE,FALSE,FALSE,1000,FALSE,FALSE,FALSE
2396,198.0962,10.69,10.58,10.84,5100,F386.png,TRUE,FALSE,FALSE,5100,FALSE,FALSE,FALSE
1893,198.0964,9.5,9.05,9.86,34000,F387.png,TRUE,FALSE,FALSE,34000,FALSE,FALSE,FALSE
3167,198.9522,14.06,13.95,14.25,18000,F388.png,FALSE,TRUE,FALSE,18000,FALSE,FALSE,FALSE
5344,198.9522,14.99,14.68,16.03,15000,F389.png,FALSE,TRUE,FALSE,15000,FALSE,FALSE,FALSE
2415,199.0429,10.74,10.71,10.81,1000,F390.png,TRUE,FALSE,FALSE,1000,FALSE,FALSE,FALSE
1464,199.09,7.56,7.47,7.76,1300,F391.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
1889,199.0993,9.49,9.09,9.67,2800,F392.png,TRUE,FALSE,FALSE,2800,FALSE,FALSE,FALSE
1585,199.1588,8.43,8.4,8.55,2800,F393.png,FALSE,TRUE,FALSE,2800,FALSE,FALSE,FALSE
1872,200.0436,9.44,9.11,9.56,29000,F394.png,TRUE,FALSE,FALSE,29000,FALSE,FALSE,FALSE
1873,200.5456,9.44,9.13,9.52,4200,F395.png,TRUE,FALSE,FALSE,4200,FALSE,FALSE,FALSE
1774,201.0507,9.16,9.09,9.34,4300,F396.png,TRUE,FALSE,FALSE,4300,FALSE,FALSE,FALSE
1761,201.5551,9.13,9.1,9.21,1500,F397.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
1285,201.5789,3.78,3.7,3.95,4200,F398.png,TRUE,FALSE,FALSE,4200,FALSE,FALSE,FALSE
1750,202.0673,9.1,8.84,9.34,17000,F399.png,TRUE,FALSE,FALSE,17000,FALSE,FALSE,FALSE
1552,202.0677,8.2,8.05,8.27,1100,F400.png,FALSE,TRUE,FALSE,1100,FALSE,FALSE,FALSE
1442,202.1065,7.39,7.19,7.83,3500,F401.png,TRUE,FALSE,FALSE,3500,FALSE,FALSE,FALSE
1290,202.1802,3.79,3.65,6.21,1700000,F402.png,TRUE,FALSE,FALSE,1700000,FALSE,FALSE,FALSE
3174,202.9238,14.1,14.01,14.29,2100,F403.png,TRUE,FALSE,FALSE,2100,FALSE,FALSE,FALSE
5330,202.9238,14.91,14.68,15.1,1400,F404.png,FALSE,TRUE,FALSE,1400,FALSE,FALSE,FALSE
4032,202.9682,14.46,14.06,14.99,100000,F405.png,TRUE,FALSE,FALSE,100000,FALSE,FALSE,FALSE
2426,203.0518,10.75,10.61,10.89,9100,F406.png,TRUE,FALSE,FALSE,9100,FALSE,FALSE,FALSE
1633,203.0519,8.61,8.17,8.98,24000,F407.png,FALSE,TRUE,FALSE,24000,FALSE,FALSE,FALSE
1805,203.0526,9.22,9.02,9.82,300000,F408.png,TRUE,FALSE,FALSE,300000,FALSE,FALSE,FALSE
2176,203.1127,10.08,10,10.26,1400,F409.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
1666,203.138,8.77,8.68,8.89,1300,F410.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
3000,203.1493,12.56,12.22,12.81,7400,F411.png,TRUE,FALSE,FALSE,7400,FALSE,FALSE,FALSE
1291,203.1829,3.79,3.65,6.14,190000,F412.png,TRUE,FALSE,FALSE,190000,FALSE,FALSE,FALSE
1653,203.2219,8.72,8.51,9.55,12000,F413.png,TRUE,FALSE,FALSE,12000,FALSE,FALSE,FALSE
4161,203.971,14.5,14.13,14.86,4700,F414.png,TRUE,FALSE,FALSE,4700,FALSE,FALSE,FALSE
3095,204.0314,13.35,13.11,13.44,2000,F415.png,TRUE,FALSE,FALSE,2000,FALSE,FALSE,FALSE
1634,204.0549,8.61,8.51,8.74,1700,F416.png,FALSE,TRUE,FALSE,1700,FALSE,FALSE,FALSE
1806,204.0551,9.22,9.08,9.57,20000,F417.png,TRUE,FALSE,FALSE,20000,FALSE,FALSE,FALSE
1926,204.0555,9.68,9.65,9.73,1100,F418.png,FALSE,TRUE,FALSE,1100,FALSE,FALSE,FALSE
2616,204.0856,11.2,11.02,11.35,16000,F419.png,TRUE,FALSE,FALSE,16000,FALSE,FALSE,FALSE
780,204.1041,2.05,2.02,2.1,4300,F420.png,TRUE,FALSE,FALSE,4300,FALSE,FALSE,FALSE
1014,204.1043,2.9,2.75,2.97,3900,F421.png,TRUE,FALSE,FALSE,3900,FALSE,FALSE,FALSE
