ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_chromatogram_artifact,score_inten_isotope,score_MS2_library_fragment,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
25020,23767,1123,1330,1193,0.9903946400993603,Biotransform,H-1N-1O1,0,0,C17H21N7O4,C17H20N6O5,1539,0,0,,,0.40830855548225753,,0.4083086,1
42670,44081,1130,2547,2704,-0.03855940373972839,Biotransform,H-1N-1O1,0,0,C9H15N3O11P2,C9H14N2O12P2,1575,0,0,,,,,0,0
42670,40115,1131,2547,2366,1.6941108272426753,Biotransform,H-1N-1O1,0,0,C9H15N3O11P2,C9H14N2O12P2,1581,0,0,,,,,0,0
116283,23825,1132,4627,1201,-3.70335741457591,Biotransform,H-1N-1O1,0,0,C22H36N2O5,C22H35N1O6,1588,0,0,,,,,0,0
47160,27981,1144,2995,1532,-1.7536874634046442,Biotransform,H-1N-1O1,0,0,C18H16N4O11,C18H15N3O12,1624,0,0,,,,,0,0
22504,20792,1150,1054,938,0.5959179547477285,Biotransform,H-1N-1O1,0,0,C25H40N4O5,C25H39N3O6,1641,0,0,,,,,0,0
43840,43533,1155,2663,2611,2.6539381556639996,Biotransform,H-1N-1O1,0,0,C9H16N3O14P3,C9H15N2O15P3,1663,0,0,,,,,0,0
26377,26743,1207,1444,1462,2.7357953692691273,Biotransform,H-1N-1O1,0,0,C27F4H26N4O4S1,C27F4H25N3O5S1,1819,0,0,,,0.4284472248938139,,0.4284472,1
48788,51129,1260,3084,3192,4.561762965168612,Biotransform,H-1N-1O1,0,0,C15H25N5O20P4,C15H24N4O21P4,1892,0,0,,,,,0,0
47725,17084,1268,3026,688,0.6438032758133513,Biotransform,H-1N-1O1,0,0,C37F1H66N1O13,C37F1H65O14,1910,0,0,,,,,0,0
47725,20949,1269,3026,947,1.4412101002967301,Biotransform,H-1N-1O1,0,0,C37F1H66N1O13,C37F1H65O14,1914,0,0,,,,,0,0
6290,10949,1272,315,419,5.03437412189513,Biotransform,H-1N-1O1,0,0,C43H83N2O7P1,C43H82N1O8P1,1918,0,0,,,,,0,0
7455,11357,1279,344,426,4.666240399796352,Biotransform,H-1N-1O1,0,0,C43H85N2O8P1,C43H84N1O9P1,1934,0,0,,,,,0,0
43803,43698,1291,2657,2642,1.7758486696231501,Biotransform,H-1N-1O1,0,0,C12H27N1O29P6,C12H26O30P6,1965,0,0,,,0.3148697870755159,,0.3148698,1
43806,43706,1326,2658,2644,3.147095174191264,Biotransform,H-1N-1O1,0,0,C60H119N2O7P1,C60H118N1O8P1,1994,0,0,,,0.6367151113862197,,0.6367151,1
30557,30579,4127,1780,1781,2.7575979892770546,Natural_abundance,[29]Si1Si-1,1,0,C6H41N6Na1O24Si6,[29]Si1C6H41N6Na1O24Si5,7600,1,0,-0.06631116377374688,,,,0.9336888,1
24583,24647,6005,1298,1304,-6.492082538853787,Natural_abundance,[13]C1C-1,1,0,C4H7N1,[13]C1C3H7N1,7922,1,0,-5.001778388268837e-4,,,,0.9994998,1
35253,35298,6006,2030,2032,-4.22228899644932,Natural_abundance,[13]C1C-1,1,0,C4H5N1O1,[13]C1C3H5N1O1,7925,1,0,-0.00742630442912097,,,,0.9925737,1
31517,31717,6007,1842,1851,-6.60211595879284,Natural_abundance,[13]C1C-1,1,0,C4H5N1O1,[13]C1C3H5N1O1,7928,1,0,-7.549050110092432e-5,,,,0.9999245,1
23829,23880,6008,1203,1208,-8.767837549605654,Natural_abundance,[13]C1C-1,1,0,C5H11N1,[13]C1C4H11N1,7931,1,0,-0.014646177110545576,,,,0.9853538,1
24984,24996,6009,1327,1328,-6.2903495107470695,Natural_abundance,[13]C1C-1,1,0,C5H13N1O1,[13]C1C4H13N1O1,7934,1,0,-6.403273726507865e-4,,,,0.9993597,1
52155,56036,6010,3230,3346,-4.332336684727804,Natural_abundance,[13]C1C-1,1,0,B1C1H2O3P1,[13]C1B1H2O3P1,7937,1,0,-0.21767831001390622,,,,0.7823217,1
24609,24624,6013,1299,1300,-6.503562182552821,Natural_abundance,[13]C1C-1,1,0,C5H9N1O2,[13]C1C4H9N1O2,7939,1,0,-0.013564652043242972,,,,0.9864353,1
22912,22894,6014,1127,1124,-8.08629832346042,Natural_abundance,[13]C1C-1,1,0,C5H11N1O2,[13]C1C4H11N1O2,7942,1,0,-0.043391445700253634,,,,0.9566086,1
30087,30101,6015,1706,1707,-4.621335836271773,Natural_abundance,[13]C1C-1,1,0,C4H9N1O3,[13]C1C3H9N1O3,7945,1,0,-0.03259004128299216,,,,0.96741,1
23116,23142,6016,1143,1144,-6.286350744279673,Natural_abundance,[13]C1C-1,1,0,C8H9N1,[13]C1C7H9N1,7948,1,0,-0.0053603827734862875,,,,0.9946396,1
25082,25148,6017,1337,1341,-3.7261740945533757,Natural_abundance,[13]C1C-1,1,0,C6H7N3,[13]C1C5H7N3,7951,1,0,-0.035533882648615185,,,,0.9644661,1
20711,20715,6018,929,930,-6.1344057591785806,Natural_abundance,[13]C1C-1,1,0,C6H6N2O1,[13]C1C5H6N2O1,7954,1,0,-0.02082378350844945,,,,0.9791762,1
35304,35353,6020,2033,2034,-4.266532196651827,Natural_abundance,[13]C1C-1,1,0,C5H7N1O3,[13]C1C4H7N1O3,7957,1,0,-0.024168795021922068,,,,0.9758312,1
25502,25490,6021,1385,1383,-5.035498420323652,Natural_abundance,[13]C1C-1,1,0,C5H7N1O3,[13]C1C4H7N1O3,7960,1,0,-0.011018874122308692,,,,0.9889811,1
31575,31665,6022,1843,1844,-5.804451253933144,Natural_abundance,[13]C1C-1,1,0,C5H7N1O3,[13]C1C4H7N1O3,7963,1,0,-0.029105507533271555,,,,0.9708945,1
23838,23881,6024,1204,1209,-4.200242859884626,Natural_abundance,[13]C1C-1,1,0,C6H13N1O2,[13]C1C5H13N1O2,7966,1,0,-0.020661032481819996,,,,0.979339,1
24422,24397,6025,1270,1267,-4.170894406126105,Natural_abundance,[13]C1C-1,1,0,C5H8O2S1,[13]C1C4H8O2S1,7970,1,0,-0.003656829925171447,,,,0.9963432,1
28356,28333,6026,1581,1579,-1.1381693523834617,Natural_abundance,[13]C1C-1,1,0,C4H6N3Na1O1,[13]C1C3H6N3Na1O1,7975,1,0,-0.0042808791135779374,,,,0.9957191,1
25675,25623,6027,1405,1399,-2.607761542926212,Natural_abundance,[13]C1C-1,1,0,C8H9N1O1,[13]C1C7H9N1O1,7976,1,0,-0.0030293060394253495,,,,0.9969707,1
25676,25623,6027,1405,1399,-2.607761542926212,Natural_abundance,[13]C1C-1,1,0,C8H9N1O1,[13]C1C7H9N1O1,7977,1,0,-0.0030293060394253495,,,,0.9969707,1
25782,25741,6029,1414,1411,-5.850563417172133,Natural_abundance,[13]C1C-1,1,0,C7H15N1O2,[13]C1C6H15N1O2,7979,1,0,-0.011256008782411371,,,,0.988744,1
31408,31493,6030,1839,1840,-6.492360148619913,Natural_abundance,[13]C1C-1,1,0,C5H10N2O3,[13]C1C4H10N2O3,7981,1,0,-0.11381178937100977,,,,0.8861882,1
35354,35284,6032,2035,2031,-3.7475155363947468,Natural_abundance,[13]C1C-1,1,0,C5H9N1O4,[13]C1C4H9N1O4,7984,1,0,-0.036610719108764775,,,,0.9633893,1
2229,2260,6033,150,151,-3.0522400463025807,Natural_abundance,[13]C1C-1,1,0,C8H4O3,[13]C1C7H4O3,7989,1,0,-0.001479939919551591,,,,0.9985201,1
24428,24435,6034,1271,1272,-5.030491790179845,Natural_abundance,[13]C1C-1,1,0,C5H11N1O2S1,[13]C1C4H11N1O2S1,7992,1,0,-0.020610346552453616,,,,0.9793897,1
22268,22285,6035,1028,1030,-2.3334662477119394,Natural_abundance,[13]C1C-1,1,0,C8H9N1O2,[13]C1C7H9N1O2,7997,1,0,-3.2302997116840894e-4,,,,0.999677,1
28374,28391,6036,1582,1583,-2.303356795601355,Natural_abundance,[13]C1C-1,1,0,C4H8N3Na1O2,[13]C1C3H8N3Na1O2,8001,1,0,-0.019910271395145274,,,,0.9800897,1
30353,30362,6037,1761,1762,-6.758696115930532,Natural_abundance,[13]C1C-1,1,0,C6H9N3O2,[13]C1C5H9N3O2,8002,1,0,-0.11937085789566267,,,,0.8806291,1
24529,24533,6038,1289,1290,-3.5083343339147706,Natural_abundance,[13]C1C-1,1,0,C9H19N1O1,[13]C1C8H19N1O1,8005,1,0,-0.0169415327950817,,,,0.9830585,1
