mz,rt,rtmin,rtmax,p_glc
751.5109,91.2,85.8,121.79999999999998,10000000
752.5149,91.2,87.6,106.2,4300000
771.5459,91.2,87.6,111.60000000000001,1200000
773.4928,91.2,85.8,113.39999999999999,6100000
774.4963,91.2,85.8,104.4,3100000
831.5717,91.2,87.6,108,1600000
837.6192,91.2,89.4,113.39999999999999,1600000
857.5874,91.2,87.6,108,1200000
870.5584,91.2,87.6,111.60000000000001,760000
82.7326,93,91.2,103.2,630000
85.3934,93,85.8,121.79999999999998,3300000
85.5049,93,87.6,113.39999999999999,1300000
94.0653,93,85.8,111.60000000000001,1500000
119.0844,93,87.6,111.60000000000001,1400000
119.0854,93,85.8,121.79999999999998,3200000
281.1382,93,87.6,123.60000000000001,4500000
301.2018,93,85.8,104.4,2500000
330.246,93,87.6,121.79999999999998,2900000
344.2615,93,87.6,111.60000000000001,2200000
351.2431,93,84,114.6,9000000
351.9119,93,84,101.39999999999999,1900000
376.2697,93,85.8,108,4700000
384.5816,93,84,99.6,940000
384.7719,93,85.8,113.39999999999999,87000000
385.2736,93,82.2,113.39999999999999,39000000
385.7752,93,85.8,120,8300000
394.2698,93,87.6,108,2000000
415.2113,93,85.8,121.79999999999998,93000000
416.2147,93,85.8,121.79999999999998,23000000
432.2378,93,87.6,123.60000000000001,34000000
433.2411,93,87.6,121.79999999999998,8300000
435.2816,93,85.8,114.6,11000000
435.7832,93,85.8,114.6,2400000
438.1965,93,85.8,104.4,1200000
621.3713,93,85.8,104.4,910000
743.5772,93,89.4,113.39999999999999,1600000
745.593,93,87.6,121.79999999999998,6500000
768.5364,93,85.8,123.60000000000001,74000000
769.5399,93,85.8,120,32000000
772.6211,93,87.6,120,4300000
773.6242,93,89.4,116.39999999999999,2700000
785.5879,93,85.8,121.79999999999998,21000000
788.6054,93,87.6,121.79999999999998,9200000
790.5734,93,87.6,121.79999999999998,2300000
791.5769,93,87.6,109.80000000000001,1200000
792.5894,93,85.8,123.60000000000001,9300000
794.6055,93,85.8,121.79999999999998,8600000
795.6086,93,85.8,120,5100000
800.6156,93,89.4,104.4,1500000
804.5526,93,87.6,123.60000000000001,5100000
810.6012,93,85.8,121.79999999999998,13000000
816.5889,93,89.4,109.80000000000001,1200000
824.5793,93,91.2,103.2,1100000
832.5842,93,85.8,123.60000000000001,14000000
833.5876,93,87.6,120,7400000
834.6009,93,85.8,121.79999999999998,7300000
835.6035,93,87.6,121.79999999999998,4800000
856.5843,93,87.6,111.60000000000001,2500000
868.5519,93,85.8,121.79999999999998,7400000
869.5553,93,85.8,123.60000000000001,3700000
84.2859,94.2,87.6,121.79999999999998,7400000
84.5098,94.2,87.6,121.79999999999998,8900000
84.6213,94.2,87.6,116.39999999999999,4000000
86.7286,94.2,91.2,103.2,710000
86.9525,94.2,89.4,113.39999999999999,1500000
87.4005,94.2,87.6,121.79999999999998,4000000
87.512,94.2,89.4,121.79999999999998,1800000
89.6192,94.2,89.4,106.2,950000
