ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
634,331,128,107,68,-0.11709491276682307,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,205,0,0,NA,NA,0,0
49256,331,130,3927,68,-0.11709491276682307,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,213,0,0,NA,NA,0,0
49259,331,132,3928,68,-0.11709491276682307,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,221,0,0,NA,NA,0,0
85,1627,146,21,236,-0.11706288371860163,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,234,0,0,NA,NA,0,0
85,1630,147,21,237,-0.11706288371860163,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,238,0,0,NA,NA,0,0
88,1627,148,22,236,-0.11706288371860163,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,242,0,0,NA,NA,0,0
88,1630,149,22,237,-0.11706288371860163,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,246,0,0,NA,NA,0,0
91,1627,150,23,236,-0.11706288371860163,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,250,0,0,NA,NA,0,0
91,1630,151,23,237,-0.11706288371860163,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,254,0,0,NA,NA,0,0
331,165,169,68,39,-0.11623518876448426,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,264,0,0,NA,NA,0,0
1627,44093,178,236,3248,-0.1162036280375873,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,280,0,0,NA,NA,0,0
1627,1211,180,236,177,0.6297429307924812,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,288,0,0,NA,NA,0,0
