label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,125,,563.5045,2.435506,0.8514342,,,,,,,,7547601.85
,,126,,182.0094,13.41926,0.8389392,,,,,,,,8981038.9
,,127,,157.994,13.89069,0.8341832,,,,,,,,9034218.7
,,128,,223.0283,2.569795,0.8097407,,,,,,,,6653242.7
,,130,,135.0451,4.210028,0.8383374,,,,,,,,8317041.5
,,131,,135.0451,2.877589,0.803623,,,,,,,,1660905.983
,,135,,257.1758,2.632472,0.8368662,,,,,,,,8260905.467
,,136,,257.1758,4.067478,0.7596681,,,,,,,,906961.3167
,,139,,175.0723,11.30009,0.8382816,,,,,,,,8525940.433
,,140,,175.0722,12.16968,0.4723578,,,,,,,,157773.6682
,,141,,176.0385,7.142178,0.7842706,,,,,,,,9032010.4
,,145,,232.8928,13.85932,0.8412201,,,,,,,,8152570.333
,,147,,127.0512,13.37507,0.8345423,,,,,,,,7960112
,,148,,131.0461,13.40346,0.8336282,,,,,,,,8076589.367
,,149,,131.0461,12.53007,0.8180723,,,,,,,,160858.5635
,,150,,175.0915,13.63701,0.8378726,,,,,,,,7838727.367
,,153,,297.1529,2.099411,0.8389145,,,,,,,,7438457.533
,,154,,174.077,12.2415,0.8398384,,,,,,,,7794767.067
,,155,,174.077,11.2421,0.7461028,,,,,,,,110307.2141
,,158,,131.0713,4.210028,0.8291076,,,,,,,,6811263.867
,,159,,131.0713,2.937972,0.8030329,,,,,,,,996216.0625
,,160,,308.7951,13.85306,0.8431545,,,,,,,,6690883.9
,,161,,242.0798,13.58651,0.8402463,,,,,,,,7133176.333
,,162,,242.0798,14.35296,0.824405,,,,,,,,3603380.533
,,163,,242.0798,13.08468,0.8474309,,,,,,,,285215.9708
,,164,,242.0782,9.268662,0.710384,,,,,,,,280949.1281
,,165,,116.0797,4.231917,0.8142096,,,,,,,,5828458.867
,,166,,116.0797,3.014406,0.8245357,,,,,,,,1530533.954
,,167,,245.9709,13.5107,0.808241,,,,,,,,6635608.133
,,168,,257.2397,2.469723,0.8349473,,,,,,,,5807370.968
,,169,,135.0312,7.659167,0.8412168,,,,,,,,7019773.3
,,170,,225.0619,2.839611,0.8354315,,,,,,,,4924808.417
,,172,,221.06,14.17583,0.8219988,,,,,,,,6666131.1
,,173,,347.216,16.77383,0.83745,,,,,,,,6568875.967
,,175,,267.2329,2.457283,0.8362817,,,,,,,,5445281.6
,,176,,240.0629,2.623067,0.8211675,,,,,,,,1700544.346
,,177,,341.1089,14.8251,0.8389904,,,,,,,,3509328.333
,,178,,341.1089,13.88441,0.8212724,,,,,,,,4097392.983
,,179,,313.2384,2.507094,0.8377512,,,,,,,,5290192.85
,,180,,313.2385,4.216278,0.8315439,,,,,,,,915769.3667
,,183,,439.0764,13.84366,0.8441426,,,,,,,,2719238.633
,,184,,439.0768,14.8251,0.8171847,,,,,,,,13213.31872
,,185,,292.9142,13.85619,0.8414882,,,,,,,,5655276.733
,,186,,270.8391,13.8468,0.8429472,,,,,,,,5595609.133
,,187,,138.0196,13.41609,0.8326431,,,,,,,,5582645.233
,,188,,446.1901,2.783056,0.8372748,,,,,,,,5024207.1
,,189,,377.2366,2.435506,0.8382804,,,,,,,,4668223.15
,,192,,537.4886,2.457283,0.8510472,,,,,,,,3974943.75
,,193,,104.0353,13.45091,0.8187549,,,,,,,,5391679.567
,,194,,267.0734,8.678406,0.7769219,,,,,,,,5607742.567
,,195,,299.0807,2.651306,0.8369979,,,,,,,,3427373.258
,,196,,606.074,13.74826,0.8100762,,,,,,,,4501024.633
,,197,,214.0485,13.61808,0.8411118,,,,,,,,5152184.3
,,199,,115.9207,13.01225,0.7465531,,,,,,,,5107368.033
,,200,,115.9207,13.38768,0.7361208,,,,,,,,5144249.956
,,201,,265.1808,2.575922,0.8333617,,,,,,,,4949652.567
,,202,,161.0454,13.05937,0.8283745,,,,,,,,5090933.967
,,204,,91.04004,7.059417,0.7870043,,,,,,,,5096711.667
,,205,,305.0687,14.18859,0.8380959,,,,,,,,4949313.267
,,206,,565.5202,2.432395,0.8556839,,,,,,,,3429846.183
,,207,,279.2329,2.4635,0.8377186,,,,,,,,4349192.417
,,208,,299.2014,2.510211,0.8325769,,,,,,,,2844952.067
,,210,,74.02472,13.33702,0.8569195,,,,,,,,4940894.233
,,211,,74.02462,13.00597,0.8478993,,,,,,,,4940894.233
,,212,,180.0665,10.75712,0.8032113,,,,,,,,5066856.333
,,213,,290.1761,2.563389,0.8340464,,,,,,,,4237496.533
,,214,,290.1761,3.812511,0.7708732,,,,,,,,585515.5188
,,215,,158.0457,11.32583,0.836967,,,,,,,,4578156.867
,,216,,158.0457,13.38139,0.6076925,,,,,,,,356946.6604
,,217,,341.2697,2.438617,0.8142256,,,,,,,,4300381.967
,,218,,130.0508,9.039639,0.8376354,,,,,,,,4837164.033
,,219,,130.0508,12.68124,0.7865551,,,,,,,,241121.7312
,,220,,164.0576,7.720701,0.8498952,,,,,,,,4830678.867
,,221,,164.0563,10.38004,0.8020576,,,,,,,,15871.20837
,,222,,216.0988,11.30009,0.8385019,,,,,,,,4380833.35
,,223,,216.0988,12.33638,0.7452811,,,,,,,,249144.7385
,,224,,216.0988,11.9677,0.6114288,,,,,,,,249144.7385
,,225,,233.1546,2.532078,0.8345669,,,,,,,,2986875.5
