"","x"
"1","Be"
"2","Sc"
"3","Ti"
"4","Kr"
"5","Sr"
"6","Nb"
"7","Ru"
"8","Rh"
"9","Pd"
"10","Ag"
"11","Xe"
"12","Cs"
"13","La"
"14","Pr"
"15","Nd"
"16","Sm"
"17","Eu"
"18","Gd"
"19","Tb"
"20","Ho"
"21","Er"
"22","Tm"
"23","Yb"
"24","Lu"
"25","Hf"
"26","Ta"
"27","W"
"28","Re"
"29","Os"
"30","Ir"
"31","Pt"
"32","Th"
