ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
81,1182,148,22,236,-0.11643194650572679,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,191,0,0,NA,NA,0,0
81,1184,149,22,237,-0.11643194650572679,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,193,0,0,NA,NA,0,0
84,1182,150,23,236,-0.11643194650572679,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,195,0,0,NA,NA,0,0
84,1184,151,23,237,-0.11643194650572679,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,197,0,0,NA,NA,0,0
251,143,168,67,39,-0.11560871323994254,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,204,0,0,NA,NA,0,0
257,143,169,68,39,-0.11560871323994254,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,209,0,0,NA,NA,0,0
1182,24774,178,236,3248,-0.11557732264095774,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,218,0,0,NA,NA,0,0
1182,893,180,236,177,0.6303686577196154,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,222,0,0,NA,NA,0,0
1184,24774,183,237,3248,-0.11557732264095774,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,228,0,0,NA,NA,0,0
1184,893,185,237,177,0.6303686577196154,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,232,0,0,NA,NA,0,0
1639,533,215,317,123,-0.11389453549343126,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,248,0,0,NA,NA,0,0
1643,533,218,318,123,-0.11389453549343126,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,260,0,0,NA,NA,0,0
1646,533,221,319,123,-0.11389453549343126,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,272,0,0,NA,NA,0,0
10315,400,222,1557,97,-0.11388289929216823,Biotransform,H-1N-1O1,0,0,C8H9N1O1,C8H8O2,276,0,0,NA,NA,0,0
15276,10845,238,2156,1604,-0.10682790994533385,Biotransform,H-1N-1O1,0,0,C5H8N2O3,C5H7N1O4,287,0,0,NA,NA,0,0
10845,2228,247,1604,429,-0.10610802501364733,Biotransform,H-1N-1O1,0,0,C5H7N1O4,C5H6O5,289,0,0,NA,NA,0,0
10845,35993,248,1604,5558,0.5787223292433897,Biotransform,H-1N-1O1,0,0,C5H7N1O4,C5H6O5,291,0,0,NA,NA,0,0
32115,28,261,4664,8,-0.10536366088088277,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,301,0,0,NA,NA,0,0
