id,mz,rt,rtmin,rtmax,n_293T_2,image,prediction,EVA_remove,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
1470,353.1548,9.3,9.17,9.5,23000,F1154.png,TRUE,FALSE,FALSE,23000,FALSE,FALSE,FALSE
35,353.1985,1.56,1.5,1.94,1800,F1155.png,FALSE,TRUE,FALSE,1800,FALSE,FALSE,FALSE
580,353.2308,2.03,1.81,2.09,3100,F1156.png,TRUE,FALSE,FALSE,3100,FALSE,FALSE,FALSE
726,354.0504,2.48,2.29,2.76,4100,F1157.png,FALSE,TRUE,FALSE,4100,FALSE,FALSE,FALSE
929,354.0512,3.12,2.91,4.84,130000,F1158.png,TRUE,FALSE,FALSE,130000,FALSE,FALSE,FALSE
2011,354.0598,10.36,10.33,10.4,1500,F1159.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
1471,354.1583,9.3,9.2,9.42,3300,F1160.png,TRUE,FALSE,FALSE,3300,FALSE,FALSE,FALSE
571,354.2402,2.02,1.89,2.07,1000,F1161.png,FALSE,TRUE,FALSE,1000,FALSE,FALSE,FALSE
216,354.2444,1.66,1.57,1.79,1800,F1162.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
1613,354.9843,9.7,9.62,9.87,2400,F1163.png,TRUE,FALSE,FALSE,2400,FALSE,FALSE,FALSE
1265,355.0444,8.69,8.61,8.81,1000,F1164.png,TRUE,FALSE,FALSE,1000,FALSE,FALSE,FALSE
728,355.0468,2.49,2.32,2.69,1500,F1165.png,FALSE,TRUE,FALSE,1500,FALSE,FALSE,FALSE
940,355.0476,3.14,2.94,4.53,47000,F1166.png,TRUE,FALSE,FALSE,47000,FALSE,FALSE,FALSE
1584,355.0646,9.58,9.56,9.63,1100,F1167.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
362,355.2037,1.71,1.69,1.84,1500,F1168.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
581,355.2464,2.03,1.98,2.06,1100,F1169.png,FALSE,TRUE,FALSE,1100,FALSE,FALSE,FALSE
1616,355.983,9.71,9.66,9.84,1700,F1170.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
922,356.0489,3.1,2.99,3.72,7600,F1171.png,TRUE,FALSE,FALSE,7600,FALSE,FALSE,FALSE
1844,356.0491,9.99,9.97,10.12,1200,F1172.png,TRUE,FALSE,FALSE,1200,FALSE,FALSE,FALSE
906,356.1018,3.01,2.96,3.1,1600,F1173.png,TRUE,FALSE,FALSE,1600,FALSE,FALSE,FALSE
1340,356.1169,8.91,8.85,9.05,2100,F1174.png,TRUE,FALSE,FALSE,2100,FALSE,FALSE,FALSE
94,356.2608,1.59,1.56,1.75,1200,F1175.png,FALSE,TRUE,FALSE,1200,FALSE,FALSE,FALSE
1657,356.9278,9.79,9.58,9.94,1900,F1176.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
1608,356.981,9.69,9.63,9.87,2600,F1177.png,TRUE,FALSE,FALSE,2600,FALSE,FALSE,FALSE
2367,356.9948,11.33,11.26,11.45,1700,F1178.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
77,357.012,1.58,1.52,1.88,2300,F1179.png,TRUE,FALSE,FALSE,2300,FALSE,FALSE,FALSE
1039,357.0997,6.54,6.36,6.76,1300,F1180.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
748,357.1534,2.88,2.46,3.06,3000,F1181.png,FALSE,TRUE,FALSE,3000,FALSE,FALSE,FALSE
683,357.1535,2.06,1.86,2.46,17000,F1182.png,TRUE,FALSE,FALSE,17000,FALSE,FALSE,FALSE
458,357.1905,1.79,1.66,2.1,1700,F1183.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
1281,358.0192,8.74,8.63,8.83,1300,F1184.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
1960,358.124,10.29,10.23,10.32,1100,F1185.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
1017,358.1387,3.82,3.79,3.88,1100,F1186.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
684,358.1569,2.06,1.95,2.12,3300,F1187.png,TRUE,FALSE,FALSE,3300,FALSE,FALSE,FALSE
133,358.2371,1.61,1.55,2,3500,F1188.png,TRUE,FALSE,FALSE,3500,FALSE,FALSE,FALSE
2709,358.9046,13,12.8,13.85,1100,F1189.png,FALSE,TRUE,FALSE,1100,FALSE,FALSE,FALSE
