ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
333,167,168,67,39,-0.11529733669368801,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,269,0,0,NA,NA,0,0
337,167,169,68,39,-0.11529733669368801,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,273,0,0,NA,NA,0,0
1742,1277,180,236,177,0.6306799930280801,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,297,0,0,NA,NA,0,0
1745,1277,185,237,177,0.6306799930280801,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,317,0,0,NA,NA,0,0
2485,743,215,317,123,-0.11358777575690215,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,341,0,0,NA,NA,0,0
2489,743,218,318,123,-0.11358777575690215,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,353,0,0,NA,NA,0,0
2492,743,221,319,123,-0.11358777575690215,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,365,0,0,NA,NA,0,0
19042,542,222,1557,97,-0.11357617089552671,Biotransform,H-1N-1O1,0,0,C8H9N1O1,C8H8O2,369,0,0,NA,NA,0,0
22867,4813,236,1703,584,-0.10955783466692393,Biotransform,H-1N-1O1,0,0,C6H8N2O2,C6H7N1O3,385,0,0,NA,NA,0,0
29863,20067,238,2156,1604,-0.10654018284081122,Biotransform,H-1N-1O1,0,0,C5H8N2O3,C5H7N1O4,391,0,0,NA,NA,0,0
20067,67073,248,1604,5558,0.5790081539675461,Biotransform,H-1N-1O1,0,0,C5H7N1O4,C5H6O5,400,0,0,NA,NA,0,0
60973,28,261,4664,8,-0.10507987746330778,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,424,0,0,NA,NA,0,0
60973,37,262,4664,9,0.5749463253575151,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,428,0,0,NA,NA,0,0
60973,14881,263,4664,1290,0.5749463253575151,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,432,0,0,NA,NA,0,0
60973,14894,264,4664,1293,0.5749463253575151,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,436,0,0,NA,NA,0,0
50,28,265,13,8,-0.785106471262922,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,440,0,0,NA,NA,0,0
50,37,266,13,9,-0.10507980600624524,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,444,0,0,NA,NA,0,0
50,14881,267,13,1290,-0.10507980600624524,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,448,0,0,NA,NA,0,0
50,14894,268,13,1293,-0.10507980600624524,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,452,0,0,NA,NA,0,0
1736,4078,274,234,496,0.5748040443930057,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,460,0,0,NA,NA,0,0
1736,37317,275,234,2505,0.5748040443930057,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,464,0,0,NA,NA,0,0
28,48857,291,8,3205,1.9221340959748687,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,471,0,0,NA,NA,0,0
37,48857,293,9,3205,1.2466289967480333,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,479,0,0,NA,NA,0,0
14881,48857,295,1290,3205,1.2466289967480333,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,487,0,0,NA,NA,0,0
14894,48857,297,1293,3205,1.2466289967480333,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,495,0,0,NA,NA,0,0
4078,17969,321,496,1500,-0.10435568331340744,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,556,0,0,NA,NA,0,0
4078,24079,322,496,1779,-0.10435568331340744,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,560,0,0,NA,NA,0,0
4078,1824,323,496,250,0.5709838875036737,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,564,0,0,NA,NA,0,0
4078,16039,324,496,1373,0.5709838875036737,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,568,0,0,NA,NA,0,0
4078,65241,325,496,5261,0.5709838875036737,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,572,0,0,NA,NA,0,0
37317,17969,327,2505,1500,-0.10435568331340744,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,580,0,0,NA,NA,0,0
37317,24079,328,2505,1779,-0.10435568331340744,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,584,0,0,NA,NA,0,0
37317,1824,329,2505,250,0.5709838875036737,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,588,0,0,NA,NA,0,0
37317,16039,330,2505,1373,0.5709838875036737,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,592,0,0,NA,NA,0,0
37317,65241,331,2505,5261,0.5709838875036737,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,596,0,0,NA,NA,0,0
67106,1335,403,5565,185,-0.10163781091172523,Biotransform,H-1N-1O1,0,0,C5H5N5O1,C5H4N4O2,639,0,0,NA,NA,0,0
