ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_chromatogram_artifact,score_inten_isotope,score_MS2_library_fragment,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
14452,7690,11711,820,453,-0.5715791500643643,Biotransform,H2O1,0,-1,C13H18O6,C13H20O7,71467,0,0,,,,,0,0
14452,10824,11712,820,697,-0.5715791500643643,Biotransform,H2O1,0,-1,C13H18O6,C13H20O7,71476,0,0,,,,,0,0
14452,13881,11713,820,799,-0.2245027623995449,Biotransform,H2O1,0,-1,C13H18O6,C13H20O7,71486,0,0,,,,,0,0
3702,6717,11714,229,394,0.4694718460975553,Biotransform,H2O1,0,-1,C16H30O3,C16H32O4,71494,0,0,,,,,0,0
21577,21964,11715,1378,1396,0.12220188580758787,Biotransform,H2O1,0,-1,C10H10I1N1,C10H12I1N1O1,71498,0,0,,,,,0,0
53629,21968,11731,2700,1397,4.201170989896863,Biotransform,H2O1,0,-1,C10H12O7S1,C10H14O8S1,71602,0,0,,,,,0,0
53629,20014,11732,2700,1284,4.541258215565746,Biotransform,H2O1,0,-1,C10H12O7S1,C10H14O8S1,71614,0,0,,,,,0,0
30561,23897,11736,1744,1503,0.11885203519869401,Biotransform,H2O1,0,-1,C11H21N1O7,C11H23N1O8,71650,0,0,,,,,0,0
1245,4847,11742,116,283,-0.2168778202160621,Biotransform,H2O1,0,-1,C18H32O2,C18H34O3,71693,0,0,,,,,0,0
36399,23909,11749,2007,1504,0.4508942030289709,Biotransform,H2O1,0,-1,C10H18O9,C10H20O10,71734,0,0,,,,,0,0
19182,24156,11750,1226,1515,1.450485823628961,Biotransform,H2O1,0,-1,C9H18N2O8,C9H20N2O9,71748,0,0,,,,,0,0
1252,3714,11753,117,231,0.1176154883092461,Biotransform,H2O1,0,-1,C18H34O2,C18H36O3,71766,0,0,,,,,0,0
9432,3714,11754,584,231,-0.21542191203430183,Biotransform,H2O1,0,-1,C18H34O2,C18H36O3,71771,0,0,,,,,0,0
35095,7788,11762,1929,457,0.4478633868281631,Biotransform,H2O1,0,-1,C14H20O6,C14H22O7,71822,0,0,,,,,0,0
6497,2452,11764,377,179,1.1096804522048165,Biotransform,H2O1,0,-1,C15H24O5,C15H26O6,71848,0,0,,,,,0,0
7638,8681,11771,451,505,0.1161267117724331,Biotransform,H2O1,0,-1,C13H18O7,C13H20O8,71912,0,0,,,,,0,0
43494,36923,11772,2305,2036,-0.2120243433061886,Biotransform,H2O1,0,-1,C8H17N1O8S1,C8H19N1O9S1,71924,0,0,,,,,0,0
36149,25107,11791,1998,1563,-0.20926149612374348,Biotransform,H2O1,0,-1,C11H17N1O8,C11H19N1O9,72110,0,0,,,,,0,0
36149,38603,11792,1998,2123,0.11425200368920083,Biotransform,H2O1,0,-1,C11H17N1O8,C11H19N1O9,72121,0,0,,,0.23720077132208298,,0.2372008,1
36149,43663,11793,1998,2310,0.11425200368920083,Biotransform,H2O1,0,-1,C11H17N1O8,C11H19N1O9,72132,0,0,,,,,0,0
36149,31062,11794,1998,1754,0.4377652939963916,Biotransform,H2O1,0,-1,C11H17N1O8,C11H19N1O9,72143,0,0,,,,,0,0
36149,53292,11795,1998,2676,0.4377652939963916,Biotransform,H2O1,0,-1,C11H17N1O8,C11H19N1O9,72154,0,0,,,,,0,0
26873,27621,11809,1625,1652,0.11172821106533587,Biotransform,H2O1,0,-1,C16H14N2O2S1,C16H16N2O3S1,72285,0,0,,,0.5109020972515397,,0.5109021,1
26873,43742,11810,1625,2312,0.11172821106533587,Biotransform,H2O1,0,-1,C16H14N2O2S1,C16H16N2O3S1,72299,0,0,,,0.29226565266027865,,0.2922657,1
4847,5675,11813,283,330,0.4278610177853214,Biotransform,H2O1,0,-1,C18H34O3,C18H36O4,72337,0,0,,,,,0,0
4847,8921,11814,283,513,0.4278610177853214,Biotransform,H2O1,0,-1,C18H34O3,C18H36O4,72342,0,0,,,,,0,0
7726,19841,11817,454,1271,0.4253457529338015,Biotransform,H2O1,0,-1,C14H20O7,C14H22O8,72368,0,0,,,,,0,0
68137,68223,11826,3392,3394,0.10999474739196348,Biotransform,H2O1,0,-1,C11H13N1O9,C11H15N1O10,72469,0,0,,,0.8090405519308228,,0.8090406,1
64956,67639,11849,3198,3370,0.10827509943309388,Biotransform,H2O1,0,-1,C12H24N2O7,C12H26N2O8,72726,0,0,,,,,0,0
46312,67639,11850,2422,3370,-0.19831426354540418,Biotransform,H2O1,0,-1,C12H24N2O7,C12H26N2O8,72732,0,0,,,,,0,0
25107,26966,11852,1563,1627,0.4136626727362204,Biotransform,H2O1,0,-1,C11H19N1O9,C11H21N1O10,72749,0,0,,,0.16288463075598064,,0.1628846,1
25107,31132,11853,1563,1756,0.7193636799516132,Biotransform,H2O1,0,-1,C11H19N1O9,C11H21N1O10,72764,0,0,,,0.16288463075598064,,0.1628846,1
31062,26966,11861,1754,1627,-0.19773978168905573,Biotransform,H2O1,0,-1,C11H19N1O9,C11H21N1O10,72875,0,0,,,0.16288463075598064,,0.1628846,1
31062,31132,11862,1754,1756,0.10796141243276056,Biotransform,H2O1,0,-1,C11H19N1O9,C11H21N1O10,72890,0,0,,,0.16288463075598064,,0.1628846,1
10461,66663,11867,665,3317,0.4135512939515788,Biotransform,H2O1,0,-1,C17H27N1O4,C17H29N1O5,72959,0,0,,,,,0,0
67037,66663,11868,3339,3317,0.10793237678880226,Biotransform,H2O1,0,-1,C17H27N1O4,C17H29N1O5,72965,0,0,,,,,0,0
28807,28174,11874,1698,1670,0.1073002591328947,Biotransform,H2O1,0,-1,C11H21N1O9,C11H23N1O10,73020,0,0,,,0.1864236509209457,,0.1864237,1
5037,10486,11881,298,668,0.10694012319666373,Biotransform,H2O1,0,-1,C18H32O4,C18H34O5,73094,0,0,,,,,0,0
5037,6743,11882,298,396,1.01536702235654,Biotransform,H2O1,0,-1,C18H32O4,C18H34O5,73098,0,0,,,,,0,0
9759,8998,11890,616,526,0.10632629524157915,Biotransform,H2O1,0,-1,C15H22O7,C15H24O8,73149,0,0,,,,,0,0
7828,7913,11896,459,463,0.40494001139766156,Biotransform,H2O1,0,-1,C15H24O7,C15H26O8,73209,0,0,,,,,0,0
67639,19655,11916,3370,1259,0.10260916657105724,Biotransform,H2O1,0,-1,C12H26N2O8,C12H28N2O9,73406,0,0,,,,,0,0
67639,20083,11917,3370,1288,0.39315488570124424,Biotransform,H2O1,0,-1,C12H26N2O8,C12H28N2O9,73413,0,0,,,,,0,0
6358,8028,11919,364,467,-0.4757413668444923,Biotransform,H2O1,0,-1,C16H24O7,C16H26O8,73430,0,0,,,,,0,0
