groupId,sample,peakMz,mzmax,mzmin,peakArea,peakIntensity,rt,rtmax,rtmin
145,n_glc,309.2801,309.2803,309.28,420000,1800000,1.53,2.07,1.42
146,n_glc,310.2834,310.2837,310.2832,81000,530000,1.53,1.76,1.45
147,n_glc,311.2957,311.296,311.2955,200000,870000,1.53,2.01,1.42
148,n_glc,314.0782,314.0785,314.0779,85000,360000,1.53,1.87,1.39
149,n_glc,327.2331,327.2333,327.233,1600000,7500000,1.53,2.04,1.42
150,n_glc,328.2365,328.2369,328.23630000000003,400000,1800000,1.53,1.99,1.42
151,n_glc,329.2488,329.2491,329.2486,440000,2200000,1.53,2.07,1.42
152,n_glc,331.2644,331.2647,331.2643,96000,550000,1.53,1.84,1.45
153,n_glc,342.2473,342.2475,342.2471,240000,1100000,1.53,1.96,1.47
154,n_glc,343.1705,343.1707,343.1704,410000,1700000,1.53,2.07,1.45
155,n_glc,344.17380000000003,344.1741,344.1734,84000,490000,1.53,1.82,1.45
156,n_glc,349.1235,349.1238,349.1232,260000,790000,1.53,2.07,1.45
157,n_glc,350.1269,350.1271,350.1257,51000,220000,1.53,1.79,1.45
158,n_glc,354.2474,354.2477,354.2473,110000,500000,1.53,1.87,1.45
159,n_glc,358.2388,358.239,358.2384,190000,1000000,1.53,1.9,1.45
160,n_glc,373.0454,373.0456,373.0451,130000,620000,1.53,1.82,1.42
161,n_glc,374.0452,374.0457,374.0444,43000,270000,1.53,1.7,1.45
162,n_glc,374.2345,374.2348,374.2341,450000,1900000,1.53,2.24,1.47
163,n_glc,374.2449,374.2452,374.2448,79000000,320000000,1.53,2.04,1.45
164,n_glc,374.2555,374.2558,374.2536,540000,2000000,1.53,2.41,1.47
165,n_glc,375.2483,375.2486,375.2482,18000000,71000000,1.53,2.04,1.45
166,n_glc,376.2519,376.2523,376.2515,1700000,6900000,1.53,2.04,1.45
167,n_glc,388.1556,388.1558,388.1554,930000,3200000,1.53,2.47,1.42
168,n_glc,390.24,390.2403,390.2398,450000,1800000,1.53,2.04,1.42
169,n_glc,410.2219,410.222,410.2218,460000,2000000,1.53,1.96,1.45
170,n_glc,415.3068,415.3071,415.3061,86000,530000,1.53,1.9,1.47
171,n_glc,417.251,417.2514,417.2505,1200000,4900000,1.53,2.44,1.42
172,n_glc,421.254,421.2544,421.2538,180000,690000,1.53,1.87,1.45
173,n_glc,434.2663,434.2666,434.2661,9600000,39000000,1.53,2.04,1.45
174,n_glc,435.2638,435.2646,435.2627,88000,440000,1.53,1.82,1.45
176,n_glc,658.5171,658.5177,658.5168,210000,1300000,1.53,1.82,1.47
177,n_glc,698.3958,698.3964,698.3953,210000,980000,1.53,1.96,1.42
178,n_glc,826.5443,826.5458,826.5436,380000,1500000,1.53,2.07,1.45
179,n_glc,826.5974,826.5985,826.5959,180000,630000,1.53,2.13,1.47
180,n_glc,839.5646,839.5663,839.5618,140000,500000,1.53,2.04,1.47
