label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pseudo_sample
,,6016,,89.03186,8.82,0.802977,,,,,,,,16746.501367187506
,,5957,,89.032845,8.725,0.746999,,,,,,,,20932.26272786459
,,6070,,89.035484,8.892,0.80006,,,,,,,,7016.942545572921
,,7543,,89.035545,12.757,0.830037,,,,,,,,14640.193489583335
,,7680,,89.037315,12.961,0.793489,,,,,,,,45454.5040364583
,,2348,,89.042717,2.839,0.806849,,,,,,,,22456.515299479164
,,7647,,89.043648,12.948,0.772273,,,,,,,,437553.1729166665
,,8497,,89.043663,13.552,0.787282,,,,,,,,37355.198958333356
,,7182,,89.050926,11.901,0.785251,,,,,,,,59784.886718750015
,,5986,,89.113609,8.781,0.76727,,,,,,,,37683.94179687498
,,6002,,90.027657,8.8,0.77245,,,,,,,,891742.341666667
,,7285,,90.027679,11.946,0.771742,,,,,,,,309528.38125000003
,,7659,,90.044563,12.951,0.772752,,,,,,,,53153.48880208338
,,1428,,91.019707,2.545,0.792422,,,,,,,,36002.51946614585
,,1543,,91.020752,2.577,0.802941,,,,,,,,49898.27929687497
,,1674,,91.022034,2.606,0.771768,,,,,,,,1531842.3583333325
,,7283,,91.028595,11.943,0.771774,,,,,,,,58092.155729166654
,,1456,,91.957092,2.562,0.771023,,,,,,,,78358.59036458335
,,1723,,92.021629,2.619,0.771509,,,,,,,,83284.63385416659
,,2065,,92.05056,2.72,0.791491,,,,,,,,17385.60898437499
,,1675,,93.00132,2.606,0.769069,,,,,,,,264014.6510416668
,,1517,,93.018898,2.574,0.787956,,,,,,,,61679.534635416734
,,508,,93.034584,2.109,0.770695,,,,,,,,643380.5541666672
,,4983,,93.972267,7.065,0.806168,,,,,,,,17022.800651041678
,,6699,,93.97245,11.158,0.776899,,,,,,,,20124.73170572917
,,1594,,93.972778,2.584,0.798929,,,,,,,,21709.406575520825
,,8203,,94.029839,13.418,0.811426,,,,,,,,99994.79479166673
,,498,,94.037964,2.106,0.786674,,,,,,,,39668.74375000002
,,5733,,94.882072,7.766,0.727147,,,,,,,,20925.85533854165
,,10110,,94.989433,14.447,0.766634,,,,,,,,8341.798860677085
,,7202,,95.013855,11.914,0.772226,,,,,,,,360491.9666666667
,,4053,,95.025063,4.23,0.838953,,,,,,,,457401.9218750002
,,5594,,95.934532,7.591,0.773263,,,,,,,,26343.576432291655
,,5495,,95.952271,7.359,0.772453,,,,,,,,222605.35937500012
,,1626,,95.952293,2.593,0.775552,,,,,,,,193552.15312499992
,,7076,,95.952293,11.621,0.772179,,,,,,,,34387.33932291663
,,10060,,95.96183,14.274,0.823579,,,,,,,,12686.629166666664
,,8920,,95.985313,13.706,0.759078,,,,,,,,142748.998795573
,,6560,,96.020355,10.983,0.795758,,,,,,,,15693.541210937507
,,7601,,96.045502,12.853,0.788077,,,,,,,,25139.49947916666
,,9122,,96.929726,13.834,0.819371,,,,,,,,39331.41197916663
,,9116,,96.960167,13.834,0.838903,,,,,,,,7120187.833333339
,,10023,,96.969673,14.252,0.772453,,,,,,,,1337167.291666667
,,9115,,96.990532,13.831,0.825324,,,,,,,,38728.3846354167
,,7360,,96.999237,12.177,0.783875,,,,,,,,23168.41106770832
,,5817,,97.004372,8.043,0.774148,,,,,,,,547620.2562499996
,,8087,,97.040771,13.354,0.783044,,,,,,,,41065.54257812504
,,5500,,97.948143,7.369,0.794049,,,,,,,,8739.258219401041
,,9133,,97.959557,13.85,0.830634,,,,,,,,50390.15494791663
,,4729,,97.965111,6.612,0.801775,,,,,,,,8413.053385416662
,,8620,,97.97699,13.671,0.771622,,,,,,,,64854.28281249999
,,4583,,97.977943,6.081,0.776733,,,,,,,,12508.68141276041
,,7351,,98.00708,12.167,0.773639,,,,,,,,390250.32916666684
,,5819,,98.007729,8.043,0.80814,,,,,,,,16829.40862630208
,,211,,98.949135,2.011,0.772179,,,,,,,,372332.7000000001
,,294,,98.955864,2.043,0.767405,,,,,,,,36429.76367187503
,,1075,,98.955933,2.407,0.796747,,,,,,,,37061.7727864583
,,9126,,98.956001,13.844,0.778265,,,,,,,,316168.7656250002
,,9118,,98.964478,13.834,0.792059,,,,,,,,59580.00716145833
,,4665,,98.974113,6.377,0.770513,,,,,,,,19012.451790364576
,,9941,,98.975182,14.197,0.772062,,,,,,,,51551.54999999999
,,9823,,99.006447,14.178,0.772443,,,,,,,,8988716.866666667
,,7973,,99.008812,13.293,0.831919,,,,,,,,1231063.0458333327
,,3694,,99.008842,4.195,0.734423,,,,,,,,188133.1145833335
,,9669,,99.037804,14.153,0.772375,,,,,,,,55002.30664062497
,,7705,,99.04525,12.984,0.780342,,,,,,,,73472.66406249993
,,8051,,99.05648,13.345,0.830806,,,,,,,,27523.399707031247
,,3549,,99.081635,4.186,0.832079,,,,,,,,25965.030598958358
,,4620,,99.970299,6.265,0.776253,,,,,,,,12139.137272135427
,,9856,,100.009804,14.182,0.772215,,,,,,,,196372.8552083335
,,7976,,100.012207,13.293,0.836097,,,,,,,,51358.25572916668
,,5743,,100.022728,7.798,0.772354,,,,,,,,31073.062369791674
,,7906,,100.076912,13.239,0.83484100000000006,,,,,,,,34185.29583333334
,,7685,,100.933624,12.967,0.7775,,,,,,,,173923.71944444437
,,8139,,100.933647,13.364,0.772466,,,,,,,,173613.56666666668
,,8619,,100.964661,13.671,0.772115,,,,,,,,56460.62083333336
,,9827,,100.985634,14.178,0.772287,,,,,,,,645001.7270833337
,,7199,,100.992165,11.911,0.772056,,,,,,,,23095.40387369793
,,9897,,101.010597,14.188,0.772324,,,,,,,,53097.79140625002
,,3379,,101.024422,4.176,0.771812,,,,,,,,445134.69583333295
,,7244,,101.024437,11.927,0.772349,,,,,,,,3584115.7333333343
,,8100,,101.072052,13.357,0.797141,,,,,,,,402900.13125000015
,,479,,101.922852,2.097,0.789865,,,,,,,,29584.539062499978
,,1201,,101.933807,2.461,0.816798,,,,,,,,21669.917578124983
,,8146,,101.933807,13.364,0.836157,,,,,,,,18346.229361979185
,,6839,,102.019691,11.24,0.775831,,,,,,,,193105.22812499985
,,6438,,102.019707,10.355,0.772021,,,,,,,,691585.5916666664
,,8439,,102.023285,13.489,0.827515,,,,,,,,16100.078645833337
,,7187,,102.027809,11.908,0.77234,,,,,,,,150982.5223958334
,,6996,,102.056091,11.422,0.772213,,,,,,,,170528.63125
,,7327,,102.056091,12.102,0.771436,,,,,,,,295033.69583333307
,,8300,,102.056091,13.473,0.838456,,,,,,,,4063019.3833333324
,,8049,,102.075439,13.344,0.832557,,,,,,,,10514.261946614584
,,8393,,102.088905,13.479,0.829299,,,,,,,,17398.875976562507
,,377,,102.923584,2.068,0.801949,,,,,,,,21955.998697916664
,,3407,,103.003731,4.179,0.784802,,,,,,,,570732.0145833335
,,6099,,103.006897,8.945,0.788355,,,,,,,,20153.374414062502
,,4597,,103.014961,6.174,0.772348,,,,,,,,62613.430468750004
,,6180,,103.014977,9.195,0.819886,,,,,,,,6549.6942382812495
,,2799,,103.022148,3.094,0.795892,,,,,,,,20170.165950520844
,,1600,,103.022156,2.586,0.800083,,,,,,,,36093.79016927082
,,6342,,103.023079,10.011,0.771374,,,,,,,,21470.952734375016
,,6431,,103.023079,10.335,0.771977,,,,,,,,21470.952734375016
,,7237,,103.028725,11.924,0.771046,,,,,,,,25521.384960937507
,,5297,,103.040108,7.119,0.772372,,,,,,,,2968296.850000001
,,6104,,103.040131,8.955,0.83083,,,,,,,,3408704.3000000017
,,7498,,103.051369,12.543,0.820983,,,,,,,,10753.442252604165
,,8375,,103.059471,13.479,0.812775,,,,,,,,162632.19010416677
,,7002,,103.059479,11.439,0.808674,,,,,,,,6703.92265625
,,7336,,103.059479,12.128,0.771397,,,,,,,,13443.96308593751
,,6110,,103.073402,8.961,0.77643,,,,,,,,17697.322363281248
,,381,,103.921013,2.071,0.772177,,,,,,,,94292.75781250001
,,4595,,103.921013,6.168,0.79177,,,,,,,,11982.72496744791
