ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
56189,54319,175,5896,5625,0.41212090599179757,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,322,0,0,NA,NA,NA,0,0
56189,60385,176,5896,6285,0.6393014447229114,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,326,0,0,NA,NA,NA,0,0
42927,23650,179,4570,2372,0.06376507058899107,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,338,0,0,NA,NA,NA,0,0
42927,18088,180,4570,1867,0.18490505388340123,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,342,0,0,NA,NA,NA,0,0
43246,23650,181,4635,2372,-0.05737493532000625,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,346,0,0,NA,NA,NA,0,0
43246,18088,182,4635,1867,0.06376506264930314,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,350,0,0,NA,NA,NA,0,0
50549,43904,187,5181,4757,0.17605565851924737,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,358,0,0,NA,NA,NA,0,0
50549,40651,188,5181,4198,0.521822718193657,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,362,0,0,NA,NA,NA,0,0
50549,65559,189,5181,6583,0.6345727945157968,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,366,0,0,NA,NA,NA,0,0
54319,43904,191,5625,4757,-0.16971158137072645,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,374,0,0,NA,NA,NA,0,0
54319,40651,192,5625,4198,0.17605559785862607,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,378,0,0,NA,NA,NA,0,0
54319,65559,193,5625,6583,0.28880571316605547,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,382,0,0,NA,NA,NA,0,0
60385,43904,195,6285,4757,-0.3952119552956108,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,390,0,0,NA,NA,NA,0,0
60385,40651,196,6285,4198,-0.04944469809564329,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,394,0,0,NA,NA,NA,0,0
60385,65559,197,6285,6583,0.06330544263697496,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,398,0,0,NA,0.5436033248091767,NA,0.5436033248091767,1
106554,50251,200,8123,5135,0.06328815937832291,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,402,0,0,NA,NA,NA,0,0
106554,82457,201,8123,7151,0.29624141972092854,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,406,0,0,NA,NA,NA,0,0
106554,53744,202,8123,5555,0.40896070018111347,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,410,0,0,NA,0.12483338217896925,NA,0.12483338217896925,1
106554,54839,203,8123,5702,0.40896070018111347,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,414,0,0,NA,0.1243089916124599,NA,0.1243089916124599,1
43904,62766,215,4757,6415,0.06284066486297972,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,441,0,0,NA,NA,NA,0,0
40651,62766,216,4198,6415,-0.2803878536986132,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,445,0,0,NA,NA,NA,0,0
65559,62766,217,6583,6415,-0.392310196574133,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,449,0,0,NA,NA,NA,0,0
106345,40463,231,8086,4162,-0.15861684881230848,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,475,0,0,NA,NA,NA,0,0
19024,15879,239,1942,1606,-0.6098464147966032,Biotransform,H-1N-1O1,0,0,C7H8N2O1,C7H7N1O2,490,0,0,NA,NA,NA,0,0
15879,7195,240,1606,830,0.061014994346062036,Biotransform,H-1N-1O1,0,0,C7H7N1O2,C7H6O3,494,0,0,NA,NA,NA,0,0
51438,51071,244,5318,5259,-0.8114002009487542,Biotransform,H-1N-1O1,0,0,C2H5N1O4S1,C2H4O5S1,504,0,0,NA,NA,NA,0,0
51438,57483,245,5318,6058,-0.268456745057043,Biotransform,H-1N-1O1,0,0,C2H5N1O4S1,C2H4O5S1,506,0,0,NA,NA,NA,0,0
49624,55315,253,5053,5775,1.2508413990699419,Biotransform,H-1N-1O1,0,0,C6H8N2O2,C6H7N1O3,515,0,0,NA,NA,NA,0,0
32347,26286,268,3156,2698,0.058067763781320725,Biotransform,H-1N-1O1,0,0,C5H8N2O3,C5H7N1O4,540,0,0,NA,NA,NA,0,0
32347,32375,269,3156,3164,0.058067763781320725,Biotransform,H-1N-1O1,0,0,C5H8N2O3,C5H7N1O4,544,0,0,NA,NA,NA,0,0
32347,39559,270,3156,4042,0.058067763781320725,Biotransform,H-1N-1O1,0,0,C5H8N2O3,C5H7N1O4,548,0,0,NA,NA,NA,0,0
26286,50693,280,2698,5199,0.36585020322501605,Biotransform,H-1N-1O1,0,0,C5H7N1O4,C5H6O5,582,0,0,NA,NA,NA,0,0
