mz,rt,rtmin,rtmax,p_293T_2
256.8502,100.8,96.60000000000001,111.60000000000001,4300
417.3342,100.8,96,123.60000000000001,2500
435.2814,100.8,96.60000000000001,118.2,20000
739.5108,100.8,90,122.4,3800
753.5176,100.8,91.8,166.79999999999998,13000
755.5379,100.8,94.2,124.19999999999999,24000
763.5906,100.8,93.60000000000001,157.20000000000002,43000
778.5374,100.8,93,159.60000000000002,33000
779.5393,100.8,94.2,157.20000000000002,15000
783.5704,100.8,92.4,162,150000
784.5828,100.8,92.4,162.6,440000
785.5863,100.8,92.4,158.4,200000
786.5996,100.8,92.4,158.4,920000
787.603,100.8,92.4,157.79999999999998,430000
788.6067,100.8,93,162.6,160000
800.6072,100.8,93.60000000000001,127.8,23000
804.5511,100.8,93,161.4,45000
814.6242,100.8,93.60000000000001,130.2,18000
817.6164,100.8,96,112.2,12000
825.5762,100.8,96,115.8,6300
837.6156,100.8,93,157.79999999999998,21000
851.5954,100.8,97.2,113.39999999999999,2600
852.6055,100.8,96,116.39999999999999,4100
864.5718,100.8,98.39999999999999,111,1500
1118.724,100.8,98.39999999999999,108.60000000000001,1500
1146.7548,100.8,96,120,11000
1197.7747,100.8,97.2,102,1500
384.771,101.39999999999999,91.8,123.60000000000001,170000
391.3368,101.39999999999999,97.8,106.2,2400
723.562,101.39999999999999,98.39999999999999,102.6,1700
743.5727,101.39999999999999,94.2,149.4,18000
744.5745,101.39999999999999,93,158.4,240000
745.5787,101.39999999999999,93.60000000000001,153.6,110000
746.5755,101.39999999999999,92.4,158.4,480000
747.5768,101.39999999999999,93,157.79999999999998,210000
754.5348,101.39999999999999,93.60000000000001,124.19999999999999,53000
756.5512,101.39999999999999,93,158.4,160000
758.5695,101.39999999999999,93,158.4,1500000
759.5724,101.39999999999999,92.4,158.4,650000
760.5843,101.39999999999999,92.4,158.4,1800000
761.5877,101.39999999999999,92.4,160.2,760000
762.589,101.39999999999999,93,158.4,210000
766.5654,101.39999999999999,90,178.20000000000002,80000
767.5702,101.39999999999999,92.4,139.8,38000
772.5872,101.39999999999999,92.4,157.79999999999998,220000
773.5888,101.39999999999999,93,159.60000000000002,100000
774.5961,101.39999999999999,93,162.6,99000
775.6,101.39999999999999,93.60000000000001,159.60000000000002,36000
780.5511,101.39999999999999,92.4,157.79999999999998,140000
781.5542,101.39999999999999,93,222.6,68000
782.5671,101.39999999999999,91.8,162,320000
790.5984,101.39999999999999,97.2,159.60000000000002,61000
798.5881,101.39999999999999,91.2,111,31000
799.5908,101.39999999999999,91.8,121.79999999999998,12000
813.5432,101.39999999999999,97.2,104.4,1200
828.6045,101.39999999999999,96,122.99999999999999,4500
839.6242,101.39999999999999,94.80000000000001,124.19999999999999,4000
859.5989,101.39999999999999,94.2,126.6,6300
1108.8066,101.39999999999999,96.60000000000001,121.2,4200
1132.7644,101.39999999999999,97.2,106.2,2000
1147.7592,101.39999999999999,96.60000000000001,117.6,7600
676.4882,102,98.39999999999999,122.99999999999999,5000
693.5261,102,96.60000000000001,150.6,25000
716.5538,102,93,156,63000
717.557,102,94.2,158.4,28000
718.5601,102,93,157.79999999999998,410000
719.5644,102,93.60000000000001,157.79999999999998,180000
720.555,102,94.2,162,130000
721.555,102,96,160.2,46000
728.5193,102,94.80000000000001,158.4,15000
730.3465,102,97.2,112.8,3500
730.5366,102,93,157.79999999999998,360000
731.3491,102,99.6,105,1500
731.5393,102,93.60000000000001,161.4,160000
732.5543,102,93,157.79999999999998,2200000
733.5566,102,93,157.79999999999998,910000
734.5595,102,93,158.4,270000
742.569,102,93.60000000000001,159.60000000000002,42000
748.5745,102,94.2,160.2,98000
750.5447,102,94.2,159.60000000000002,33000
757.5547,102,93.60000000000001,157.79999999999998,73000
801.6126,102,94.2,126,9200
802.5358,102,100.19999999999999,104.4,1200
803.5998,102,97.2,122.99999999999999,3800
824.5794,102,96.60000000000001,126.6,17000
826.5901,102,94.80000000000001,127.2,10000
842.5874,102,96.60000000000001,118.2,15000
843.5916,102,96,123.60000000000001,6400
866.5878,102,97.2,118.2,7700
870.6108,102,98.39999999999999,103.2,2400
1159.8265,102,97.2,103.2,1700
470.3282,102.6,100.19999999999999,114.6,1200
664.5257,102.6,98.39999999999999,114.6,3300
702.5074,102.6,98.39999999999999,108.60000000000001,8100
704.5222,102.6,93.60000000000001,158.4,380000
705.524,102.6,94.2,157.79999999999998,160000
706.5354,102.6,93.60000000000001,158.4,240000
707.5386,102.6,94.2,157.20000000000002,95000
724.5243,102.6,96.60000000000001,117.6,21000
729.5226,102.6,96.60000000000001,129.60000000000002,6200
735.5634,102.6,94.2,158.4,62000
736.5661,102.6,94.80000000000001,157.79999999999998,16000
740.5216,102.6,94.2,161.4,18000
756.2843,102.6,96.60000000000001,114.6,2500
776.5791,102.6,94.2,160.2,55000
784.2306,102.6,97.2,109.2,1700
829.6131,102.6,97.2,111,1800
662.5127,103.2,100.19999999999999,113.39999999999999,1300
678.5046,103.2,94.80000000000001,162.6,120000
694.5271,103.2,97.8,124.19999999999999,5300
741.5244,103.2,96,129,6500
765.5347,103.2,91.2,115.8,12000
816.6169,103.2,94.80000000000001,194.4,27000
867.591,103.2,97.2,120.6,3200
903.5723,103.2,99,116.39999999999999,1700
625.515,103.8,97.2,116.39999999999999,2300
677.492,103.8,99.6,112.2,1700
679.5075,103.8,96,157.20000000000002,49000
680.5075,103.8,100.19999999999999,116.39999999999999,15000
692.5237,103.8,94.80000000000001,159.60000000000002,68000
708.5414,103.8,97.8,133.20000000000002,23000
709.5449,103.8,97.8,121.79999999999998,4000
737.5702,103.8,98.39999999999999,116.39999999999999,3900
815.5621,103.8,97.2,112.2,3000
840.5696,103.8,88.8,130.2,8800
902.5723,103.8,97.2,112.2,1900
627.5302,104.4,102.6,108,1300
700.5215,104.4,99,111.60000000000001,1900
702.4093,104.4,103.2,108,1200
777.5808,104.4,96.60000000000001,177,21000
469.324,105,98.39999999999999,116.39999999999999,4100
712.4916,105,101.39999999999999,106.2,1100
814.5573,105,90,135.6,6100
876.5591,105,99.6,111,1400
892.6495,105,94.80000000000001,106.2,1200
690.5361,105.6,94.80000000000001,109.2,27000
738.5064,105.6,96,133.8,9200
841.5744,105.6,94.80000000000001,124.80000000000001,4000
1121.7268,105.6,99.6,115.19999999999999,1600
561.3623,106.2,100.8,122.4,1600
645.9341,106.2,103.2,118.8,1800
723.5194,106.2,96.60000000000001,124.80000000000001,6000
316.2113,107.4,98.39999999999999,189,150000
317.2139,107.4,99.6,184.8,26000
318.2163,107.4,102,153,3400
700.4865,107.4,105.6,112.8,1300
841.6209,107.4,105.6,110.4,1600
650.4363,108,103.8,127.2,2200
823.6253,108,106.2,111.60000000000001,4000
846.6191,108,106.2,111.60000000000001,2900
729.5866,108.60000000000001,103.2,127.2,8000
260.1667,109.2,103.8,124.80000000000001,6200
344.3151,109.2,108,120.6,1200
507.3371,109.2,105.6,111,1700
691.4608,109.2,102.6,122.4,3100
703.5718,109.2,101.39999999999999,157.79999999999998,110000
904.5832,109.2,97.2,114.6,1600
905.5848,109.2,105.6,110.4,1000
251.1839,109.80000000000001,103.8,126,2000
420.2748,109.80000000000001,105,115.8,1300
583.3277,109.80000000000001,103.8,119.4,1800
665.4584,109.80000000000001,108.60000000000001,113.39999999999999,1100
688.5156,103.8,93,106.2,5700
701.5564,109.80000000000001,100.8,157.79999999999998,67000
702.5585,109.80000000000001,103.8,136.2,35000
418.2309,110.4,103.2,175.2,3400
419.7732,110.4,104.4,126,2900
431.3086,110.4,109.2,120,1100
433.3294,110.4,108.60000000000001,116.39999999999999,1000
677.5463,110.4,105.6,126,3000
687.5402,110.4,108,115.8,1300
691.5465,110.4,96.60000000000001,121.79999999999998,7900
724.9625,110.4,107.4,122.99999999999999,1700
416.2228,111,103.2,223.8,100000
582.3242,111,102.6,171,7200
676.5425,111,105,156,12000
689.5557,111,103.2,133.20000000000002,12000
838.5474,111,87,157.79999999999998,9700
839.5505,111,99,132,4900
861.6136,111,94.2,126,4400
350.2055,111.60000000000001,108,112.8,1200
370.0811,111.60000000000001,109.2,118.2,1500
417.2267,111.60000000000001,103.2,220.2,22000
485.3577,111.60000000000001,99.6,227.4,1100000
487.3624,111.60000000000001,102,222.6,55000
499.3712,111.60000000000001,98.39999999999999,118.8,1300
635.3651,111.60000000000001,109.80000000000001,122.99999999999999,1400
673.5247,111.60000000000001,105,124.19999999999999,4100
674.5236,111.60000000000001,107.4,122.99999999999999,2400
675.5407,111.60000000000001,103.2,157.79999999999998,27000
243.684,112.2,103.2,123.60000000000001,46000
244.1853,112.2,104.4,122.99999999999999,8400
