ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_chromatogram_artifact,score_inten_isotope,score_MS2_library_fragment,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
55556,15957,20239,2815,780,-3.5107777115626395,Biotransform,C1O1,0,1,C6H13N1O1S1,C7H13N1O2S1,123867,0,0,,,,,0,0
52435,2,20246,2594,1,7.781812944756884,Biotransform,C1O1,0,1,C8H6O3,C9H6O4,123877,0,0,,,,,0,0
52435,20795,20247,2594,1252,8.343517893389585,Biotransform,C1O1,0,1,C8H6O3,C9H6O4,123881,0,0,,,,,0,0
149431,31152,20261,5858,1815,-0.0789618414358609,Biotransform,C1O1,0,1,C8H19N3,C9H19N3O1,123917,0,0,,,0.2603680289293362,,0.260368,1
149431,33313,20262,5858,1950,-0.0789618414358609,Biotransform,C1O1,0,1,C8H19N3,C9H19N3O1,123918,0,0,,,0.2603680289293362,,0.260368,1
11196,28353,20264,451,1658,0.4564229822601936,Biotransform,C1O1,0,1,C10H9N1O1,C11H9N1O2,123923,0,0,,,0.18837415433034016,,0.1883742,1
11196,28354,20264,451,1658,0.4564229822601936,Biotransform,C1O1,0,1,C10H9N1O1,C11H9N1O2,123925,0,0,,,,,0,0
13077,28353,20265,581,1658,0.4564229822601936,Biotransform,C1O1,0,1,C10H9N1O1,C11H9N1O2,123929,0,0,,,0.20334074439909167,,0.2033407,1
13077,28354,20265,581,1658,0.4564229822601936,Biotransform,C1O1,0,1,C10H9N1O1,C11H9N1O2,123931,0,0,,,,,0,0
27228,49424,20266,1601,2486,-0.07814185987340254,Biotransform,C1O1,0,1,C6H13N3O2,C7H13N3O3,123935,0,0,,,,,0,0
38438,11827,20267,2150,516,-0.0781313363259348,Biotransform,C1O1,0,1,C8H17N1O2,C9H17N1O3,123939,0,0,,,,,0,0
16644,36411,20272,814,2064,-0.07773303520295152,Biotransform,C1O1,0,1,C6H12N2O3,C7H12N2O4,123954,0,0,,,,,0,0
16644,56329,20273,814,2852,-0.07773303520295152,Biotransform,C1O1,0,1,C6H12N2O3,C7H12N2O4,123958,0,0,,,,,0,0
75354,38445,20274,3646,2152,-0.07771799404681806,Biotransform,C1O1,0,1,C7H16N2O2,C8H16N2O3,123962,0,0,,,,,0,0
93845,38445,20275,4471,2152,-0.07771799404681806,Biotransform,C1O1,0,1,C7H16N2O2,C8H16N2O3,123966,0,0,,,,,0,0
